country,woeid,clatitude,clongitude
Aland Islands,12577865,60.198250,20.217291
Montenegro,20069817,42.697552,19.432270
Serbia,20069818,44.049809,20.910789
Macau,20070017,22.201000,113.547112
Aruba,23424736,12.518350,-69.963989
Antigua and Barbuda,23424737,17.086020,-61.789421
United Arab Emirates,23424738,24.287849,55.115898
Afghanistan,23424739,33.930450,67.678940
Algeria,23424740,28.026880,1.652840
Azerbaijan,23424741,40.151340,47.687069
Albania,23424742,41.152649,20.170010
Armenia,23424743,40.066170,45.039890
Andorra,23424744,42.542370,1.600210
Angola,23424745,-11.941840,17.907209
American Samoa,23424746,-14.309960,-170.702377
Argentina,23424747,-37.090698,-63.584808
Australia,23424748,-24.912100,133.397552
Austria,23424750,47.696510,13.345770
Anguilla,23424751,18.225121,-63.072128
Bahrain,23424753,26.024750,50.548500
Barbados,23424754,13.183550,-59.534649
Botswana,23424755,-22.344030,24.680161
Bermuda,23424756,32.303101,-64.785469
Belgium,23424757,50.501011,4.476840
The Bahamas,23424758,24.741421,-78.080017
Bangladesh,23424759,23.687450,90.350899
Belize,23424760,17.192921,-88.652840
Bosnia and Herzegovina,23424761,43.920101,17.676960
Bolivia,23424762,-16.288349,-63.549419
Myanmar,23424763,19.257959,96.682999
Benin,23424764,9.322040,2.313130
Belarus,23424765,53.711048,27.973749
Solomon Islands,23424766,-9.595810,160.209015
Brazil,23424768,-14.242920,-54.387829
Bhutan,23424770,27.515499,90.442268
Bulgaria,23424771,42.731602,25.483120
Brunei,23424773,4.525130,114.598969
Burundi,23424774,-3.387910,29.920389
Canada,23424775,56.954681,-98.308968
Cambodia,23424776,12.547730,104.983856
Chad,23424777,15.460300,18.738770
Sri Lanka,23424778,7.873950,80.789711
Congo,23424779,-0.662620,14.927410
Democratic Republic of Congo,23424780,-4.034790,21.756269
China,23424781,36.894451,104.165649
Chile,23424782,-35.705219,-71.341087
Cayman Islands,23424783,19.330021,-81.252159
Cocos (Keeling) Islands,23424784,-12.149050,96.834900
Cameroon,23424785,7.365290,12.343440
Comoros,23424786,-11.651580,43.359970
Colombia,23424787,4.116410,-72.958527
Northern Mariana Islands,23424788,15.193460,145.764999
Costa Rica,23424791,9.624890,-84.253311
Central African Republic,23424792,6.614040,20.941759
Cuba,23424793,21.511021,-77.806793
Cape Verde,23424794,15.112300,-23.614759
Cook Islands,23424795,-21.227341,-159.771301
Denmark,23424796,56.276089,9.516950
Djibouti,23424797,11.808370,42.595211
Dominica,23424798,15.416740,-61.364128
Dominican Republic,23424800,18.767900,-70.161743
Ecuador,23424801,-1.781560,-78.106667
Egypt,23424802,26.696360,30.246469
Ireland,23424803,53.419609,-8.240550
Equatorial Guinea,23424804,1.633920,10.341290
Estonia,23424805,58.592319,25.806950
Eritrea,23424806,15.181320,39.950859
El Salvador,23424807,13.796870,-88.918793
Ethiopia,23424808,9.147300,40.493050
Czech Republic,23424810,49.803879,15.474910
French Guiana,23424811,3.951790,-53.078232
Finland,23424812,64.950142,26.067390
Fiji,23424813,-17.790991,177.973404
Falkland Islands,23424814,-51.800579,-58.721039
Federated States of Micronesia,23424815,6.884800,158.223145
Faroe Islands,23424816,62.126911,-6.989530
French Polynesia,23424817,-17.690170,-149.376007
France,23424819,46.710670,1.718190
The Gambia,23424821,13.445410,-15.311430
Gabon,23424822,-0.828090,11.598910
Georgia,23424823,42.311520,43.365791
Ghana,23424824,7.955010,-1.031820
Gibraltar,23424825,36.132080,-5.348290
Grenada,23424826,12.112670,-61.698940
Greenland,23424828,71.802071,-42.177181
Germany,23424829,51.164181,10.454150
Guadeloupe,23424831,16.157841,-61.676708
Guam,23424832,13.446450,144.786636
Greece,23424833,39.072449,21.845560
Guatemala,23424834,15.776250,-90.232307
Guinea,23424835,9.934880,-9.660630
Guyana,23424836,4.866320,-58.938259
Haiti,23424839,18.986059,-72.292259
Honduras,23424841,14.504720,-86.253098
Croatia,23424843,44.746712,15.340800
Hungary,23424844,47.161160,19.504959
Iceland,23424845,64.963943,-19.021160
Indonesia,23424846,0.109740,113.917397
India,23424848,21.786600,82.794762
British Indian Ocean Territory,23424849,7.200590,72.251678
Iran,23424851,32.420650,53.682362
Israel,23424852,31.389299,35.361240
Italy,23424853,42.503819,12.573470
Ivory Coast,23424854,7.546850,-5.547090
Iraq,23424855,33.240520,43.689850
Japan,23424856,37.487598,139.838287
Jamaica,23424858,18.115259,-77.273483
Jordan,23424860,31.278749,37.139351
Kenya,23424863,-0.024350,37.903950
Kyrgyzstan,23424864,41.205540,74.779900
North Korea,23424865,40.339600,127.495216
Kiribati,23424867,-8.045500,159.161377
South Korea,23424868,36.448151,127.850166
Christmas Island,23424869,-10.495820,105.629272
Kuwait,23424870,29.310150,47.494450
Kazakhstan,23424871,47.999249,66.902290
Laos,23424872,18.205210,105.451180
Lebanon,23424873,33.872452,35.876549
Latvia,23424874,56.880112,24.605240
Lithuania,23424875,55.173962,23.894390
Liberia,23424876,6.452420,-9.428590
Slovakia,23424877,48.665501,19.701740
Liechtenstein,23424879,47.159500,9.553800
Lesotho,23424880,-29.620510,28.247419
Luxembourg,23424881,49.815220,6.133480
Libya,23424882,26.338520,17.268820
Madagascar,23424883,-18.777180,46.854321
Martinique,23424884,14.635540,-61.022812
Moldova,23424885,46.979328,28.391310
Mayotte,23424886,-12.824510,45.136780
Mongolia,23424887,46.860802,103.836807
Montserrat,23424888,16.744160,-62.194500
Malawi,23424889,-13.247070,34.294708
Macedonia,23424890,41.602810,21.751289
Mali,23424891,17.579750,-3.998830
Monaco,23424892,43.738350,7.424290
Morocco,23424893,31.815411,-7.067000
Mauritius,23424894,-20.255409,57.551739
Mauritania,23424896,21.006809,-10.950860
Malta,23424897,35.902088,14.448120
Oman,23424898,20.814350,55.859261
Maldives,23424899,6.757850,73.154762
Mexico,23424900,23.625740,-101.956253
Malaysia,23424901,3.945150,114.401657
Mozambique,23424902,-18.670280,35.530151
New Caledonia,23424903,-21.242041,165.506744
Niue,23424904,-19.051620,-169.863083
Norfolk Island,23424905,-29.025101,168.049805
Niger,23424906,17.610991,8.080940
Vanuatu,23424907,-15.146760,167.038040
Nigeria,23424908,9.084570,8.674250
Netherlands,23424909,52.108200,5.329860
Norway,23424910,64.556534,12.666170
Nepal,23424911,28.394751,84.127769
Nauru,23424912,-0.528300,166.922150
Suriname,23424913,3.917840,-56.032028
Netherlands Antilles,23424914,12.209210,-69.039413
Nicaragua,23424915,12.866720,-85.424049
New Zealand,23424916,-43.586781,170.370987
Paraguay,23424917,-23.451389,-58.453209
Pitcairn Islands,23424918,-24.361460,-128.316376
Peru,23424919,-9.181340,-75.002357
Spratly Islands,23424921,10.728410,115.823700
Pakistan,23424922,30.441851,69.359703
Poland,23424923,51.918919,19.134300
Panama,23424924,8.417700,-80.112778
Portugal,23424925,39.557919,-7.844810
Papua New Guinea,23424926,-6.656190,145.859314
Palau,23424927,7.530530,134.563919
Disputed Territory,23424928,34.687561,79.098518
Guinea-Bissau,23424929,11.802520,-15.177020
Qatar,23424930,25.318800,51.196758
Reunion,23424931,-21.114531,55.532059
Marshall Islands,23424932,7.110460,171.081787
Romania,23424933,45.946949,24.980400
Philippines,23424934,15.593050,120.739067
Puerto Rico,23424935,18.223280,-66.428886
Russia,23424936,59.461479,108.831779
Rwanda,23424937,-1.947070,29.876381
Saudi Arabia,23424938,23.917549,45.120209
Saint Pierre and Miquelon,23424939,46.966171,-56.336830
Saint Kitts and Nevis,23424940,17.318100,-62.746368
Seychelles,23424941,-4.684440,55.487320
South Africa,23424942,-28.479330,24.679930
Senegal,23424943,14.499450,-14.445550
St Helena Ascension and Tristan da Cunha,23424944,-7.946590,-14.342330
Slovenia,23424945,46.146938,14.955050
Sierra Leone,23424946,8.465020,-11.795930
San Marino,23424947,43.942730,12.459790
Singapore,23424948,1.365580,103.827713
Somalia,23424949,5.161580,46.200829
Spain,23424950,39.894890,-2.988310
St. Lucia,23424951,13.904000,-60.974178
Sudan,23424952,13.316640,30.209490
Sweden,23424954,62.198448,17.551420
South Georgia and the South Sandwich Islands,23424955,-54.428452,-36.497700
Syria,23424956,34.814800,39.056000
Switzerland,23424957,46.813202,8.223950
Trinidad and Tobago,23424958,10.434430,-61.418079
Thailand,23424960,13.036590,101.492500
Tajikistan,23424961,38.858189,71.262177
Turks and Caicos Islands,23424962,21.796579,-71.745117
Tokelau,23424963,-9.383180,-171.250153
Tonga,23424964,-21.167931,-175.195999
Togo,23424965,8.621690,0.829690
Sao Tome and Principe,23424966,0.220320,6.619350
Tunisia,23424967,33.795021,9.561540
East Timor,23424968,-8.894030,126.119553
Turkey,23424969,38.957741,35.431702
Tuvalu,23424970,-7.471530,178.690964
Taiwan,23424971,23.599751,121.023811
Turkmenistan,23424972,38.968319,59.562870
Tanzania,23424973,-6.368210,34.885189
Uganda,23424974,1.377770,32.287399
United Kingdom,23424975,54.314072,-2.230010
Ukraine,23424976,48.382881,31.173441
United States,23424977,37.167931,-95.845016
Burkina Faso,23424978,12.241840,-1.556760
Uruguay,23424979,-32.531509,-55.758331
Uzbekistan,23424980,41.394760,64.564453
Saint Vincent and the Grenadines,23424981,13.248140,-61.196320
Venezuela,23424982,6.472790,-66.589043
British Virgin Islands,23424983,18.426821,-64.635490
Vietnam,23424984,15.974210,107.868042
US Virgin Islands,23424985,17.736549,-64.736290
Vatican City,23424986,41.903839,12.452490
Namibia,23424987,-22.965660,18.486170
Wallis and Futuna,23424989,-13.283380,-176.173187
Western Sahara,23424990,24.238480,-12.886300
Samoa,23424992,-13.617120,-172.482437
Swaziland,23424993,-26.518370,31.465679
United Nations Neutral Zone,23424997,33.093498,35.859200
Iraq-Saudi Arabia Neutral Zone,23424998,29.126350,45.638100
Yemen,23425002,15.796660,47.850681
Zambia,23425003,-13.151920,27.852539
Zimbabwe,23425004,-19.013281,29.146660
Hong Kong,24865698,22.411249,114.153542
Cyprus,26812346,35.132519,33.435501
French Southern Territories,28289406,-22.341181,40.385830
United States Minor Outlying Islands,28289407,5.875220,-162.436493
Palestinian Territories,28289408,31.947750,35.229649
Antarctica,28289409,-81.500000,0.000000
Bouvet Island,28289410,-54.433331,3.400000
Heard Island and McDonald Islands,28289411,-53.099998,72.516670
Svalbard and Jan Mayen,28289413,78.315987,16.096960
Saint Barthelemy,56042304,17.908310,-62.834381
Saint-Martin,56042305,18.091290,-63.082878
